Location,City,Bedrooms,Bathrooms,Parking,Price
Runda, Nairobi,4,4,2,KSh 380 000
 Lower Kabete, Nairobi,5,5,2,KSh 380 000
Lavington, Nairobi,2,2,,KSh 80 000
 Peponi, Nairobi,4,4,3,KSh 250 000
 Kileleshwa, Nairobi,3,3,2,KSh 85 000
 Lavington, Nairobi,3,3,2,KSh 75 000
,,3,3,,KSh 330 000
,,2,2,"Floor Size:

                            160
                        
                        m²",KSh 220 000
 Westlands, Nairobi,3,3,2,KSh 220 000
,,2,2,,KSh 160 000
 Kileleshwa, Nairobi,3,3,,KSh 65 000
,,2,2,2,KSh 80 000
 Lavington, Nairobi,5,5,2,KSh 250 000
Parklands, Nairobi,3,3,,KSh 68 000
 Muthaiga, Nairobi,4,4,"Erf Size:

                            350
                        
                        m²",KSh 550 000
,,4,3,,KSh 100 000
Karen, Nairobi,3,3,,KSh 155 000
Kilimani, Nairobi,3,4,2,KSh 160 000
 Lavington, Nairobi,4,4,2,KSh 350 000
 Lavington, Nairobi,4,4,2,KSh 350 000
 Peponi, Nairobi,4,4,2,KSh 390 000
Runda, Nairobi,5,5,"Erf Size:

                            0.5
                        
                        acres",KSh 600 000
 Lavington, Nairobi,4,4,2,KSh 370 000
 Lavington, Nairobi,3,2,,KSh 250 000
 Karen, Nairobi,2,1,"Floor Size:

                            700
                        
                        m²",KSh 7 000
,,4,3,2,KSh 150 000
Karen, Nairobi,4,4,,KSh 250 000
,,1,1,,KSh 140 000
 Loresho, Nairobi,5,5,3,KSh 240 000
 Loresho, Nairobi,5,5,3,KSh 240 000
 Kileleshwa, Nairobi,5,4,2,KSh 200 000
 Lavington, Nairobi,3,2,,KSh 65 000
 Runda, Nairobi,5,6,2,KSh 220 000
 Runda, Nairobi,4,5,2,KSh 300 000
Kilimani, Nairobi,3,4,2,KSh 150 000
 Westlands, Nairobi,4,4,3,KSh 300 000
Lavington, Nairobi,3,3,,KSh 100 000
,,3,3,"Floor Size:

                            180
                        
                        m²",KSh 130 000
 Lavington, Nairobi,3,3,2,KSh 66 000
Kileleshwa, Nairobi,2,3,2,KSh 80 000
Kilimani, Nairobi,3,4,2,KSh 150 000
 Kileleshwa, Nairobi,4,4,3,KSh 170 000
,,3,4,"Floor Size:

                            230
                        
                        m²",KSh 160 000
Riverside, Nairobi,6,,,KSh 500 000
Syokimau, Nairobi,3,1,,KSh 45 000
 Westlands, Nairobi,3,3,,KSh 100 000
 Lavington, Nairobi,2,2,,KSh 65 000
,,4,4,"Floor Size:

                            230
                        
                        m²",KSh 180 000
Ngong Rd, Nairobi,1,1,,KSh 30 000
 Kileleshwa, Nairobi,3,3,2,KSh 80 000
 Rosslyn, Nairobi,5,5,,KSh 430 000
 Karen, Nairobi,2,1,"Floor Size:

                            700
                        
                        m²",KSh 45 000
 Runda, Nairobi,5,5,2,KSh 250 000
 Karen, Nairobi,4,5,2,KSh 250 000
 Karen, Nairobi,4,5,2,KSh 300 000
 Kileleshwa, Nairobi,5,5,2,KSh 150 000
 Karen, Nairobi,4,5,"Erf Size:

                            0.5
                        
                        acres",KSh 350 000
 Kilimani, Nairobi,4,4,4,KSh 130 000
 Kileleshwa, Nairobi,5,2,,KSh 290 000
,,3,4,"Floor Size:

                            170
                        
                        m²",KSh 120 000
 Spring Valley, Nairobi,4,4,2,KSh 350 000
,,5,5,4,KSh 310 000
 Kilimani, Nairobi,1,,,KSh 18 000
 Kilimani, Nairobi,1,1,"Floor Size:

                            100
                        
                        m²",KSh 100 000
 Kyuna, Nairobi,4,4,2,KSh 340 000
,,3,2,1,KSh 65 000
,,5,3,"Floor Size:

                            550
                        
                        m²",KSh 360 000
 Runda, Nairobi,5,5,2,KSh 250 000
 Parklands, Nairobi,2,1,2,KSh 42 000
Westlands, Nairobi,4,4,"Floor Size:

                            500
                        
                        m²",KSh 280 000
,,2,2,2,KSh 60 000
 Loresho, Nairobi,4,3,2,KSh 200 000
,,4,4,2,KSh 350 000
 Westlands, Nairobi,3,4,2,KSh 140 000
,,2,2,,KSh 80 000
 Runda, Nairobi,5,5,2,KSh 240 000
 Lavington, Nairobi,4,4,2,KSh 250 000
,,4,5,"Floor Size:

                            230
                        
                        m²",KSh 150 000
 Lavington, Nairobi,3,3,2,KSh 90 000
 Loresho, Nairobi,4,3,2,KSh 190 000
 Loresho, Nairobi,4,3,2,KSh 200 000
 Runda, Nairobi,5,5,2,KSh 240 000
 Loresho, Nairobi,4,3,2,KSh 200 000
 Lavington, Nairobi,4,4,2,KSh 160 000
 Lavington, Nairobi,5,5,2,KSh 220 000
 Lavington, Nairobi,4,4,2,KSh 160 000
 Lavington, Nairobi,3,3,2,KSh 100 000
 Spring Valley, Nairobi,4,3,2,KSh 200 000
 Lakeview, Nairobi,3,2,,KSh 300 000
,,"Floor Size:

                            560
                        
                        m²",560,"Erf Size:

                            0.5
                        
                        acres",KSh 670 000
 Lavington, Nairobi,5,5,2,KSh 180 000
 Lavington, Nairobi,4,15,,KSh 320 000
 Lavington, Nairobi,4,15,,KSh 320 000
 Lavington, Nairobi,3,2,,KSh 250 000
 Lavington, Nairobi,4,4,2,KSh 80 000
 Runda, Nairobi,5,5,2,KSh 310 000
 Lakeview, Nairobi,4,3,2,KSh 250 000
Kileleshwa, Nairobi,3,4,,KSh 88 000
Lavington, Nairobi,5,5,,KSh 350 000
,,2,2,,KSh 220 000
 Kileleshwa, Nairobi,2,2,3,KSh 65 000
 Westlands, Nairobi,4,2,4,KSh 170 000
 Kilimani, Nairobi,3,3,2,KSh 100 000
 Lavington, Nairobi,4,4,2,KSh 400 000
Kiambu Road, Nairobi,3,3,2,KSh 65 000
 Westlands, Nairobi,4,3,,KSh 250 000
 Lavington, Nairobi,3,3,2,KSh 75 000
,,1,1,"Floor Size:

                            65
                        
                        m²",KSh 120 000
