Location,City,Bedrooms,Bathrooms,Parking,Price
 Lavington, Nairobi,5,6,4,KSh 350 000
 Riverside, Nairobi,3,3,2,KSh 200 000
 Riverside, Nairobi,3,3,2,KSh 200 000
 Kileleshwa, Nairobi,2,2,,KSh 110 000
 Kitisuru, Nairobi,4,5,"Floor Size:

                            400
                        
                        m²",KSh 420 000
 Lavington, Nairobi,5,6,2,KSh 350 000
Karen, Nairobi,5,7,4,KSh 450 000
 Riverside, Nairobi,3,3,,KSh 350 000
 Riverside, Nairobi,3,3,,KSh 300 000
 Riverside, Nairobi,3,3,,KSh 300 000
 Upper Hill, Nairobi,3,3,,KSh 200 000
 Riverside, Nairobi,3,3,"Floor Size:

                            300
                        
                        m²",KSh 140 000
 Nyari, Nairobi,5,5.5,4,KSh 430 000
 Loresho, Nairobi,5,4,2,KSh 190 000
 Westlands, Nairobi,1,1,1,KSh 70 000
 Riverside, Nairobi,3,3,2,KSh 200 000
Muthaiga, Nairobi,3,2,,KSh 190 000
Westlands, Nairobi,4,4,3,KSh 180 000
 Kiambu Road, Nairobi,4,4,3,KSh 170 000
Kilimani, Nairobi,,,,KSh 50 000
 Mountain View, Nairobi,3,3,"Floor Size:

                            150
                        
                        m²",KSh 40 000
Kilimani, Nairobi,,,,KSh 50 000
 Mountain View, Nairobi,3,3,"Floor Size:

                            150
                        
                        m²",KSh 40 000
 Lavington, Nairobi,4,4,"Erf Size:

                            500
                        
                        m²",KSh 220 000
Lavington, Nairobi,2,3,2,KSh 85 000
 Runda, Nairobi,4,5,3,KSh 320 000
 Peponi, Nairobi,3,4,2,KSh 350 000
 Ruaka, Nairobi,1,1,1,KSh 18 000
Ngong Rd, Nairobi,1,1,,KSh 27 000
 Runda, Nairobi,5,6,6,KSh 450 000
 Kileleshwa, Nairobi,2,2,,KSh 85 000
 Rosslyn, Nairobi,4,4,,KSh 300 000
 Riverside, Nairobi,3,3,,KSh 170 000
 Kilimani, Nairobi,3,3,,KSh 195 000
 Ruaka, Nairobi,1,1,1,KSh 18 000
 Kilimani, Nairobi,4,4,,KSh 350 000
 Riverside, Nairobi,3,3,,KSh 170 000
 Westlands, Nairobi,4,5,2,KSh 450 000
Kitisuru, Nairobi,1,1,1,KSh 22 000
Kitisuru, Nairobi,1,1,1,KSh 22 000
Kitisuru, Nairobi,1,1,1,KSh 22 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 265 000
 Lavington, Nairobi,2,2,,KSh 90 000
Kileleshwa, Nairobi,2,2,2,KSh 75 000
 Kiambu Road, Nairobi,4,4,2,KSh 135 000
 Kileleshwa, Nairobi,1,1,1,KSh 45 000
 Runda, Nairobi,5,5,2,KSh 400 000
 Kyuna, Nairobi,4,4,2,KSh 260 000
 Kileleshwa, Nairobi,1,1,1,KSh 50 000
 Kileleshwa, Nairobi,2,2,1,KSh 70 000
 Kileleshwa, Nairobi,3,2,2,KSh 80 000
 Kileleshwa, Nairobi,1,1,1,KSh 45 000
Garden Estate, Nairobi,4,4,2,KSh 280 000
 Kitisuru, Nairobi,4,3,2,KSh 250 000
 Westlands, Nairobi,2,2,2,KSh 150 000
 Parklands, Nairobi,2,2,2,KSh 150 000
 Westlands, Nairobi,2,2,2,KSh 150 000
 Karen, Nairobi,16,"Floor Size:

                            500
                        
                        m²",500,KSh 500 000
 Kileleshwa, Nairobi,2,,,KSh 280 000
 Kiambu Road, Nairobi,4,4,,KSh 270 000
 Loresho, Nairobi,4,6,"Erf Size:

                            0.5
                        
                        acres",KSh 300 000
 Lavington, Nairobi,5,3,2,KSh 350 000
,,5,5,3,KSh 180 000
 Lakeview, Nairobi,4,4.5,4,KSh 700 000
Rosslyn, Nairobi,5,4,"Erf Size:

                            0.5
                        
                        acres",KSh 450 000
 Loresho, Nairobi,5,6,2,KSh 300 000
Kilimani, Nairobi,3,3,2,KSh 75 000
 Lavington, Nairobi,2,2,2,KSh 75 000
 Lavington, Nairobi,3,3,2,KSh 120 000
 Lavington, Nairobi,4,4,2,KSh 150 000
 Lavington, Nairobi,3,3,2,KSh 120 000
 Lavington, Nairobi,3,3,2,KSh 110 000
 Lavington, Nairobi,4,4,2,KSh 130 000
 Lavington, Nairobi,2,2,2,KSh 90 000
 Westlands, Nairobi,2,2,2,KSh 250 000
 Riverside, Nairobi,1,1,2,KSh 130 000
 Riverside, Nairobi,3,3,2,KSh 220 000
 Riverside, Nairobi,1,1,2,KSh 130 000
Kilimani, Nairobi,3,4,,KSh 140 000
Kilimani, Nairobi,3,4,2,KSh 130 000
 Westlands, Nairobi,4,4,,KSh 450 000
 Lavington, Nairobi,4,4,"Floor Size:

                            320
                        
                        m²",KSh 200 000
 Lavington, Nairobi,5,5,3,KSh 300 000
 Lavington, Nairobi,5,5,3,KSh 300 000
Lavington, Nairobi,5,6,2,KSh 450 000
Westlands, Nairobi,2,2,2,KSh 280 000
 Spring Valley, Nairobi,4,4,,KSh 300 000
 Westlands, Nairobi,2,2,,KSh 230 000
 Kileleshwa, Nairobi,3,3,,KSh 150 000
 Kileleshwa, Nairobi,2,2,,KSh 180 000
 Upper Hill, Nairobi,2,2,,KSh 200 000
 Westlands, Nairobi,2,2,,KSh 220 000
 Westlands, Nairobi,4,4,2,KSh 180 000
 Lavington, Nairobi,3,4,2,KSh 130 000
 Lavington, Nairobi,5,6,2,KSh 280 000
Westlands, Nairobi,3,3,"Floor Size:

                            213
                        
                        m²",KSh 250 000
Ruaka, Nairobi,3,2,,KSh 45 000
,,6,5,4,KSh 350 000
 Loresho, Nairobi,3,,,KSh 559 000
 Runda, Nairobi,4,4,4,KSh 250 000
 Runda, Nairobi,4,4,5,KSh 380 000
 Runda, Nairobi,1,1,1,KSh 1 000
 Runda, Nairobi,4,3,4,KSh 250 000
 Runda, Nairobi,4,4,4,KSh 4 000
Westlands, Nairobi,3,3,"Floor Size:

                            213
                        
                        m²",KSh 250 000
 Westlands, Nairobi,4,4,2,KSh 460 000
Kileleshwa, Nairobi,5,5,,KSh 270 000
 Lavington, Nairobi,5,6,4,KSh 350 000
 Westlands, Nairobi,3,4,"Floor Size:

                            160
                        
                        m²",KSh 140 000
,,4,4,2,KSh 200 000
 Westlands, Nairobi,4,5,2,KSh 140 000
 Lower Kabete, Nairobi,5,6,4,KSh 713 000
 Nyari, Nairobi,5,5,,KSh 600 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 300 000
 Westlands, Nairobi,3,3,,KSh 130 000
 Riverside, Nairobi,4,4,,KSh 130 000
 Riverside, Nairobi,4,4,,KSh 130 000
 Upper Hill, Nairobi,2,2,,KSh 200 000
 Lavington, Nairobi,5,6,4,KSh 350 000
 Lavington, Nairobi,4,,,KSh 200 000
Kilimani, Nairobi,2,2,,KSh 70 000
 Kitisuru, Nairobi,3,4,3,KSh 400 000
 Kileleshwa, Nairobi,2,2,,KSh 78 000
 Kileleshwa, Nairobi,2,2,,KSh 280 000
 Karen, Nairobi,3,2,"Erf Size:

                            0.5
                        
                        acres",KSh 170 000
 Karen, Nairobi,3,2,"Erf Size:

                            0.25
                        
                        m²",KSh 170 000
 Karen, Nairobi,3,2,"Erf Size:

                            0.25
                        
                        m²",KSh 170 000
 Westlands, Nairobi,3,4,2,KSh 135 000
 Karen, Nairobi,5,6,4,KSh 550 000
 Kilimani, Nairobi,3,3,,KSh 120 000
Karen, Nairobi,4,4,,KSh 300 000
Lavington, Nairobi,3,,,KSh 500 000
Lavington, Nairobi,4,4,,KSh 380 000
 Karen, Nairobi,1,,,KSh 50 000
 Riverside, Nairobi,4,4,,KSh 350 000
 Muthaiga, Nairobi,3,3,,KSh 500 000
Kilimani, Nairobi,3,3,,KSh 100 000
 Westlands, Nairobi,"Floor Size:

                            379
                        
                        m²",379,,KSh 362 970
 Spring Valley, Nairobi,3,3,,KSh 300 000
Kileleshwa, Nairobi,3,2,,KSh 85 000
Lavington, Nairobi,3,3,2,KSh 180 000
Langata, Nairobi,3,2,,KSh 70 000
Runda, Nairobi,4,4,3,KSh 380 000
,,2,2,,KSh 180 000
 Nyari, Nairobi,5,6,4,KSh 280 000
Kilimani, Nairobi,3,3,,KSh 100 000
 Rosslyn, Nairobi,3,4,2,KSh 220 000
 Rosslyn, Nairobi,3,4,2,KSh 220 000
 Runda, Nairobi,4,5,3,KSh 350 000
 Rosslyn, Nairobi,4,4,"Erf Size:

                            1
                        
                        acres",KSh 470 000
 Thigiri, Nairobi,5,6,3,KSh 600 000
Spring Valley, Nairobi,4,3,2,KSh 250 000
 Westlands, Nairobi,3,2,"Floor Size:

                            178
                        
                        m²",KSh 100 000
 Karen, Nairobi,6,5,2,KSh 350 000
 Kileleshwa, Nairobi,3,2,2,KSh 85 000
 Lower Kabete, Nairobi,4,4,2,KSh 190 000
 Thigiri, Nairobi,4,4,,KSh 784 410
 Thigiri, Nairobi,5,6,3,KSh 600 000
,,2,2,"Floor Size:

                            100
                        
                        m²",KSh 76 000
 Peponi, Nairobi,4,5,3,KSh 430 000
,,2,2,,KSh 80 000
Ngong Rd, Nairobi,2,1,,KSh 30 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
 Kyuna, Nairobi,4,5,4,KSh 460 000
 Kilimani, Nairobi,3,3,,KSh 140 000
Kilimani, Nairobi,2,2,2,KSh 145 000
 Lavington, Nairobi,2,2,2,KSh 180 000
 Lavington, Nairobi,6,7,10,KSh 800 000
 Karen, Nairobi,5,5,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Westlands, Nairobi,3,3,,KSh 385 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Mountain View, Nairobi,4,4,,KSh 165 000
 Westlands, Nairobi,3,3,"Floor Size:

                            179
                        
                        m²",KSh 110 000
 Riverside, Nairobi,3,3,,KSh 350 000
 Riverside, Nairobi,3,3,,KSh 170 000
 Riverside, Nairobi,3,3,,KSh 325 000
 Spring Valley, Nairobi,2,2,,KSh 250 000
 Windsor, Nairobi,4,5,4,KSh 590 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Runda, Nairobi,5,6,4,KSh 450 000
 Kiambu Road, Nairobi,4,5,3,KSh 180 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
 Westlands, Nairobi,4,5,2,KSh 220 000
Kilimani, Nairobi,3,3,2,KSh 85 000
Ngong Rd, Nairobi,2,2,,KSh 65 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 300 000
Kilimani, Nairobi,2,2,2,KSh 90 000
Karen, Nairobi,5,5,,KSh 370 000
Kitisuru, Nairobi,6,6,3,KSh 450 000
 Runda, Nairobi,5,5,3,KSh 300 000
 Thigiri, Nairobi,4,5,"Erf Size:

                            0.5
                        
                        m²",KSh 380 000
 Lavington, Nairobi,4,3,2,KSh 110 000
 Lavington, Nairobi,3,3,2,KSh 100 000
 Kileleshwa, Nairobi,3,3,2,KSh 75 000
 Kileleshwa, Nairobi,2,2,2,KSh 75 000
 Kileleshwa, Nairobi,3,3,2,KSh 85 000
 Lavington, Nairobi,5,5,2,KSh 420 000
Lavington, Nairobi,5,6,4,KSh 350 000
Lavington, Nairobi,5,5.5,4,KSh 300 000
 Garden Estate, Nairobi,5,5,,KSh 250 000
 Parklands, Nairobi,3,3,,KSh 250 000
 Karen, Nairobi,4,4,,KSh 400 000
 Karen, Nairobi,4,4,2,KSh 330 000
 Kileleshwa, Nairobi,3,3,,KSh 80 000
 Karen, Nairobi,4,4,,KSh 330 000
 Loresho, Nairobi,5,6,4,KSh 200 000
 Karen, Nairobi,4,4,2,KSh 330 000
 Karen, Nairobi,4,4,2,KSh 260 000
 Karen, Nairobi,3,3,"Erf Size:

                            500
                        
                        m²",KSh 150 000
 Westlands, Nairobi,3,3,,KSh 250 000
 Karen, Nairobi,3,3,"Erf Size:

                            500
                        
                        m²",KSh 150 000
 Westlands, Nairobi,3,3,,KSh 250 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Mombasa Rd, Nairobi,,,,KSh 38
 Westlands, Nairobi,4,3,2,KSh 130 000
Riverside, Nairobi,1,1,1,KSh 90 000
Kileleshwa, Nairobi,4,5,"Floor Size:

                            390
                        
                        m²",KSh 300 000
 Muthaiga, Nairobi,4,4.5,3,KSh 450 000
 Ridgeways, Nairobi,4,3,4,KSh 500 000
 Lavington, Nairobi,1,1,,KSh 180 000
 Karen, Nairobi,3,2,2,KSh 150 000
 Kitisuru, Nairobi,4,4,2,KSh 300 000
Lavington, Nairobi,4,3,"Erf Size:

                            1
                        
                        acres",KSh 320 000
 Hillview, Nairobi,5,5,2,KSh 630 000
 Lavington, Nairobi,2,2,2,KSh 70 000
Lavington, Nairobi,4,3,"Erf Size:

                            1
                        
                        acres",KSh 320 000
 Lakeview, Nairobi,4,4,2,KSh 420 000
 Lakeview, Nairobi,4,3,2,KSh 280 000
,,3,3,,KSh 85 000
 Peponi, Nairobi,3,3,2,KSh 350 000
 Karen, Nairobi,4,4,"Erf Size:

                            0.5
                        
                        acres",KSh 350 000
 Karen, Nairobi,4,4,"Erf Size:

                            0.5
                        
                        acres",KSh 350 000
Runda, Nairobi,4,4,2,KSh 350 000
Runda, Nairobi,5,5,2,KSh 200 000
 Kileleshwa, Nairobi,2,2,,KSh 180 000
 Spring Valley, Nairobi,3,3,,KSh 220 000
 Spring Valley, Nairobi,5,3,,KSh 350 000
Westlands, Nairobi,2,2,2,KSh 120 000
 Kiambu Road, Nairobi,4,5,4,KSh 180 000
 Kiambu Road, Nairobi,4,4,"Erf Size:

                            0.75
                        
                        acres",KSh 350 000
Westlands, Nairobi,2,2,,KSh 180 000
 Kileleshwa, Nairobi,3,3,,KSh 130 000
 Riverside, Nairobi,2,2,1,KSh 65 000
 Kilimani, Nairobi,3,3,,KSh 250 000
 Lower Kabete, Nairobi,5,5,4,KSh 450 000
 Riverside, Nairobi,3,3,,KSh 350 000
 Peponi, Nairobi,3,3,2,KSh 350 000
 Westlands, Nairobi,2,2,,KSh 100 000
 Spring Valley, Nairobi,3,4,3,KSh 200 000
,,2,2,,KSh 50 000
Westlands, Nairobi,2,2,2,KSh 120 000
Garden Estate, Nairobi,3,3,2,KSh 120 000
