Location,City,Bedrooms,Bathrooms,Parking,Price
South B, Nairobi,1,1,,KSh 25 000
 Karen, Nairobi,3,2,"Erf Size:

                            0.5
                        
                        m²",KSh 280 000
 Rosslyn, Nairobi,2,2,,KSh 170 000
Syokimau, Nairobi,2,2,2,KSh 28 000
 Kileleshwa, Nairobi,3,3,,KSh 150 000
Ngong Rd, Nairobi,1,1,,KSh 30 000
 Westlands, Nairobi,3,3,,KSh 300 000
 Rosslyn, Nairobi,5,5,3,KSh 500 000
Ruaka, Nairobi,2,2,,KSh 43 000
 Karen, Nairobi,4,4,2,KSh 320 000
 Kilimani, Nairobi,5,6,2,KSh 350 000
,,3,4,2,KSh 180 000
 Lavington, Nairobi,3,3,,KSh 130 000
 Kileleshwa, Nairobi,2,2,2,KSh 65 000
Riverside, Nairobi,4,3,,KSh 140 000
,,4,4,4,KSh 430 000
 Lavington, Nairobi,1,1,,KSh 60 000
 Muthaiga, Nairobi,4,4.5,3,KSh 450 000
Syokimau, Nairobi,2,2,2,KSh 28 000
 Lavington, Nairobi,2,2,2,KSh 75 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Kiambu Road, Nairobi,4,4,"Erf Size:

                            350
                        
                        m²",KSh 110 000
 Westlands, Nairobi,3,3,,KSh 250 000
 Westlands, Nairobi,2,2,2,KSh 90 000
 Syokimau, Nairobi,4,5,,KSh 60 000
 Ruaka, Nairobi,2,3,,KSh 29 000
 Upper Hill, Nairobi,1,1,,KSh 150 000
Karen, Nairobi,3,3,,KSh 130 000
 Kileleshwa, Nairobi,2,2,2,KSh 150 000
 Westlands, Nairobi,3,4,2,KSh 160 000
 Loresho, Nairobi,5,,,KSh 596 000
 Westlands, Nairobi,3,3,2,KSh 330 000
 Nyari, Nairobi,5,5,3,KSh 4 300
Kilimani, Nairobi,3,2,"Floor Size:

                            180
                        
                        m²",KSh 90 000
Nyari, Nairobi,4,4,5,KSh 4 300
Nyari, Nairobi,4,4,5,KSh 4 300
Kitisuru, Nairobi,3,2,2,KSh 100 000
 Runda, Nairobi,5,5,3,KSh 500 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
South B, Nairobi,3,2,2,KSh 55 000
 Loresho, Nairobi,5,,,KSh 596 000
 Kyuna, Nairobi,4,4,2,KSh 260 000
Gigiri, Nairobi,4,4,2,KSh 275 000
 Westlands, Nairobi,5,6,3,KSh 250 000
Karen, Nairobi,3,3,,KSh 150 000
Lavington, Nairobi,5,6,4,KSh 350 000
Loresho, Nairobi,2,2,,KSh 100 000
Karen, Nairobi,5,5,"Floor Size:

                            500
                        
                        m²",KSh 500 000
Kileleshwa, Nairobi,3,4,,KSh 220 000
Lavington, Nairobi,3,3,2,KSh 100 000
Redhill, Nairobi,4,3,,KSh 100 000
 Lavington, Nairobi,1,2,,KSh 150 000
Kilimani, Nairobi,3,4,2,KSh 120 000
 Kileleshwa, Nairobi,1,1.5,2,KSh 130 000
 Kilimani, Nairobi,2,2,2,KSh 95 000
Gigiri, Nairobi,4,4,2,KSh 275 000
Westlands, Nairobi,2,,,KSh 190 000
Kilimani, Nairobi,3,3,,KSh 100 000
Loresho, Nairobi,4,3,4,KSh 160 000
 Parklands, Nairobi,2,2,2,KSh 170 000
 Lower Kabete, Nairobi,4,4,3,KSh 560 000
 Karen, Nairobi,5,5,2,KSh 350 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 330 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Karen, Nairobi,6,6,"Erf Size:

                            1,000
                        
                        m²",KSh 350 000
 Muthaiga, Nairobi,5,6,4,KSh 730 000
 Karen, Nairobi,5,5,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Karen, Nairobi,4,5,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Karen, Nairobi,6,6,2,KSh 250 000
 Kilimani, Nairobi,3,3,2,KSh 85 000
 Kilimani, Nairobi,3,3,2,KSh 75 000
 Karen, Nairobi,3,2,"Floor Size:

                            2,000
                        
                        m²",KSh 200 000
 Kilimani, Nairobi,3,3,2,KSh 260 000
 Karen, Nairobi,5,5,2,KSh 270 000
 Karen, Nairobi,5,5,"Floor Size:

                            2,222
                        
                        m²",KSh 100 000
 Karen, Nairobi,3,2,"Erf Size:

                            0.5
                        
                        acres",KSh 250 000
 Karen, Nairobi,5,6,3,KSh 450 000
 Muthaiga, Nairobi,5,6,4,KSh 730 000
 Karen, Nairobi,4,4,"Erf Size:

                            1,000
                        
                        m²",KSh 350 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 230 000
 Karen, Nairobi,4,5,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Kileleshwa, Nairobi,3,3,2,KSh 150 000
 Parklands, Nairobi,8,"Floor Size:

                            613
                        
                        m²",613,KSh 857 472
 Westlands, Nairobi,3,3,2,KSh 250 000
 Parklands, Nairobi,3,3,2,KSh 250 000
 Westlands, Nairobi,3,4,"Floor Size:

                            285
                        
                        m²",KSh 350 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,222
                        
                        m²",KSh 280 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Karen, Nairobi,5,5,"Floor Size:

                            2,222
                        
                        m²",KSh 300 000
 Kileleshwa, Nairobi,2,2,2,KSh 220 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 230 000
 Kilimani, Nairobi,3,3,2,KSh 260 000
 Karen, Nairobi,4,4,2,KSh 200 000
 Kilimani, Nairobi,3,3,2,KSh 270 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,222
                        
                        m²",KSh 250 000
