City,Location,Area,Bedrooms,Bathrooms,Generator,Furnished,Internet,Gym,Balcony,Parking,Ensuite,Lift,Price
Kiambu County,Kiambu Town,,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"33,000"
Nairobi,Thika Road,,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,"140,000"
Westlands,Gigiri,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Kiambu County,Ruaka,,2,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"50,000"
Nairobi,Kilimani,,2,2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Westlands Area,,3,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"200,000"
Nairobi,Riara Road,,3,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"75,000"
Nairobi,Muthaiga,Building Area 207 m²,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Westlands,Westlands Area,,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"85,000"
Westlands,Riverside,,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"200,000"
Mombasa Island,Mombasa CBD,Building Area 3400 ft²,4,5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Rosslyn,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Nairobi,Kilimani,Building Area 85 m²,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"100,000"
Roysambu,Garden Estate,,2,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"100,000"
Nairobi,Kilimani,Building Area 180 m²,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Riverside,,3,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"90,000"
Nyali,Nyali Area,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"110,000"
Nairobi,Kilimani,,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"289,000"
Westlands,Westlands Area,,2,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"140,000"
Kiambu County,Ruaka,,2,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"40,000"
Nairobi,Kileleshwa,,3,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"250,000"
Westlands,Westlands Area,,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"130,000"
Nairobi,Kilimani,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Westlands,Riverside,Building Area 300 m²,4,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Westlands,Westlands Area,,3,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"75,000"
Westlands,Westlands Area,,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"90,000"
Nairobi,Kileleshwa,,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"135,000"
Westlands,Parklands,,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"125,000"
Westlands,Parklands,,3,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,General Mathenge,,4,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Kileleshwa,,,,,,,,,,,,
Nairobi,Kilimani,,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Kileleshwa,,3,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"80,000"
Westlands,Parklands,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"280,000"
Nyali,Nyali Area,,3,4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Gigiri,,3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"180,000"
Mombasa Island,Mombasa CBD,Building Area 1400 ft²,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"75,000"
Nairobi,Kilimani,,3,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"75,000"
Nairobi,Utawala,,1,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"16,000"
Nairobi,Lavington,,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"150,000"
Nairobi,Kileleshwa,Building Area 150 m²,3,4,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,"130,000"
Machakos County,Athi River,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"290,000"
Westlands,Parklands,Building Area 250 m²,3,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,"400,000"
Nairobi,Nairobi CBD,Land Area 7432 m²,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,"110,000"
Machakos County,Athi River,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"290,000"
Nairobi,Kileleshwa,,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"55,000"
Nairobi,Kilimani,,3,3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"160,000"
Westlands,Westlands Area,Building Area 260 m²,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Westlands,Parklands,Building Area 150 m²,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Nairobi,Kileleshwa,,3,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"250,000"
Nairobi,Kilimani,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Nairobi,Lavington,,2,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"70,000"
Westlands,Riverside,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Westlands Area,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"170,000"
Westlands,Riverside,,3,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"135,000"
Mombasa Island,Tudor,,2,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"12,000"
Nyali,Nyali Area,Building Area 200 m²,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"4,500"
Nairobi,Kilimani,,2,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"80,000"
Nairobi,South C,Building Area 128 m²,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Westlands,General Mathenge,Building Area 200 m²,3,4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Muthaiga,,3,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"170,000"
Nairobi,Kileleshwa,Building Area 2800 m²,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"320,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Nairobi,Kilimani,Building Area 255 m²,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Kilifi County,Mtwapa,,2,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"28,000"
Nairobi,Kileleshwa,,3,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"85,000"
Nairobi,Kileleshwa,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Brookside,Building Area 140 m²,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"100,000"
Nairobi,Lavington,Building Area 200 m²,3,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"95,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"280,000"
Westlands,Mountain View,,2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"55,000"
Westlands,General Mathenge,,3,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"140,000"
Westlands,Westlands Area,Building Area 400 m²,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"650,000"
Westlands,Rhapta Road,,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"130,000"
Nyali,Nyali Area,,3,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"115,000"
Nairobi,Lavington,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Nairobi,Ngong Road,,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"65,000"
Nairobi,Kilimani,,2,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"190,000"
Nairobi,Upper Hill,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Kileleshwa,,2,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"65,000"
Westlands,Kitisuru,Building Area 133 m²,2,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Lavington,,5,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"130,000"
Westlands,Westlands Area,,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"95,000"
Ruiru,Tatu City,Building Area 150 m²,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Rosslyn,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"240,000"
Westlands,Brookside,Building Area 169 m²,3,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"90,000"
Westlands,Westlands Area,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"440,000"
Westlands,Westlands Area,,2,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"110,000"
Westlands,Westlands Area,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"450,000"
Nairobi,Kileleshwa,,2,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"78,000"
Westlands,Rhapta Road,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"90,000"
Nairobi,Kilimani,,3,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"100,000"
Westlands,Westlands Area,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Nairobi,Kilimani,,1,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,"100,000"
Nairobi,Kilimani,,3,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"100,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"210,000"
Westlands,Parklands,Building Area 300 m²,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"280,000"
Westlands,Westlands Area,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"130,000"
Westlands,Westlands Area,,1,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"95,000"
Nairobi,Kilimani,,2,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"150,000"
Limuru,Tigoni,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"35,000"
Nairobi,Upper Hill,,2,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,"220,000"
Westlands,Riverside,,3,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Kileleshwa,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"165,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Kilimani,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"75,000"
Nairobi,Kilimani,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"110,000"
Nairobi,Kilimani,,4,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"90,000"
Nairobi,Kileleshwa,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"110,000"
Nairobi,Kileleshwa,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Nairobi,Lavington,,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"170,000"
Westlands,Riverside,,3,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"250,000"
Westlands,Spring Valley,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"320,000"
Westlands,Brookside,,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"185,000"
Westlands,Rhapta Road,,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"60,000"
Nyali,Mkomani,,3,4,,,,,,,,,"105,000"
Westlands,Brookside,Building Area 140 m²,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Roysambu,Garden Estate,,2,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,"130,000"
Westlands,Rhapta Road,,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"160,000"
Nyali,Nyali Area,,1,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"100,000"
Kiambu County,Ruaka,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"50,000"
Westlands,Parklands,Building Area 138 m²,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Nairobi,Kileleshwa,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Nairobi,Lavington,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"140,000"
Nairobi,Lavington,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Nairobi,Lavington,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"120,000"
Westlands,Brookside,Building Area 200 m²,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Westlands,General Mathenge,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Nairobi,Kileleshwa,,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"130,000"
Westlands,Parklands,,3,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"175,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Nairobi,Upper Hill,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Westlands Area,,4,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Nairobi,Kileleshwa,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"120,000"
Nyali,Nyali Area,Building Area 2000 m²,3,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"50,000"
Westlands,Waiyaki Way,,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"23,000"
Nairobi,Lavington,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Nairobi,Lavington,Building Area 152 m²,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"220,000"
Westlands,Rhapta Road,,2,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Westlands Area,,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"120,000"
Mombasa,Bamburi,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"15,000"
Nairobi,Kileleshwa,Building Area 15 m²,2,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"260,000"
Nairobi,Kileleshwa,,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"120,000"
Nairobi,Kilimani,,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"140,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"180,000"
Nairobi,Kileleshwa,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"340,000"
Westlands,Riverside,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Kileleshwa,,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"220,000"
Westlands,Waiyaki Way,,3,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"60,000"
Nairobi,Kileleshwa,,2,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"75,000"
Westlands,Kitisuru,,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Nairobi,Kileleshwa,,2,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"80,000"
Westlands,Westlands Area,,4,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Gigiri,,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"375,000"
Nairobi,Kilimani,,3,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,"70,000"
Westlands,Rhapta Road,Building Area 200 m²,4,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"120,000"
Westlands,Spring Valley,Building Area 140 m²,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"230,000"
Westlands,Rhapta Road,,3,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,"70,000"
Nairobi,Kileleshwa,,3,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,"250,000"
Nairobi,Kilimani,,3,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"120,000"
Nairobi,Westlands,,,,,,,,,,,,
