Location,City,Bedrooms,Bathrooms,Parking,Price
Spring Valley, Nairobi,3,3,2,KSh 260 000
Kileleshwa, Nairobi,1,1,,KSh 46 000
,,5,6,2,KSh 190 000
Lavington, Nairobi,3,3,,KSh 200 000
,,4,5,2,KSh 200 000
,,2,2,2,KSh 78 000
 Westlands, Nairobi,4,4,,KSh 250 000
 Uthiru, Nairobi,2,2,,KSh 45 000
Westlands, Nairobi,2,2,2,KSh 250 000
Kitisuru, Nairobi,3,3,,KSh 75 000
 Lavington, Nairobi,4,3,2,KSh 75 000
Kitisuru, Nairobi,3,3,,KSh 75 000
 Kileleshwa, Nairobi,3,3,2,KSh 70 000
,,4,4,4,KSh 200 000
Kilimani, Nairobi,3,3,,KSh 95 000
,,6,6,5,KSh 400 000
Parklands, Nairobi,3,1,,KSh 80 000
 Parklands, Nairobi,2,1,,KSh 55 000
 Hillview, Nairobi,4,4,2,KSh 270 000
 Runda, Nairobi,3,3,2,KSh 275 000
Westlands, Nairobi,4,4,2,KSh 150 000
 Runda, Nairobi,3,3,2,KSh 275 000
Westlands, Nairobi,4,4,2,KSh 150 000
 Lavington, Nairobi,3,3,2,KSh 90 000
Nyari, Nairobi,4,4,2,KSh 350 000
Karen, Nairobi,4,4,"Floor Size:

                            500
                        
                        m²",KSh 300 000
 Kilimani, Nairobi,3,3,,KSh 150 000
 Spring Valley, Nairobi,4,4,2,KSh 390 000
Kilimani, Nairobi,3,1,,KSh 60 000
 Loresho, Nairobi,4,3,,KSh 190 000
 Lavington, Nairobi,3,3,2,KSh 75 000
 Westlands, Nairobi,1,2,2,KSh 150 000
Lavington, Nairobi,3,3,2,KSh 70 000
Karen, Nairobi,4,4,"Floor Size:

                            500
                        
                        m²",KSh 300 000
,,2,2,"Floor Size:

                            100
                        
                        m²",KSh 80 000
 Westlands, Nairobi,3,5,,KSh 280 000
 Valley Arcade, Nairobi,6,2,"Floor Size:

                            700
                        
                        m²",KSh 350 000
 Nyari, Nairobi,5,5,2,KSh 350 000
 Lavington, Nairobi,3,3,2,KSh 75 000
 Riverside, Nairobi,1,1.5,1,KSh 140 000
,,2,2,2,KSh 130 000
 Westlands, Nairobi,4,4,3,KSh 160 000
 Lavington, Nairobi,4,4,2,KSh 90 000
 Lavington, Nairobi,4,,,KSh 600 000
,,4,5,2,KSh 150 000
Runda, Nairobi,1,,,KSh 370 000
,,3,3,2,KSh 170 000
 Kilimani, Nairobi,2,3,2,KSh 90 000
Kilimani, Nairobi,3,4,"Floor Size:

                            250
                        
                        m²",KSh 150 000
Valley Arcade, Nairobi,2,3,2,KSh 140 000
 Lavington, Nairobi,2,2,,KSh 100 000
Riverside, Nairobi,2,2,,KSh 100 000
Kilimani, Nairobi,2,3,2,KSh 75 000
 Lavington, Nairobi,2,2,,KSh 100 000
 Karen, Nairobi,3,3,2,KSh 80 000
,,2,2,"Floor Size:

                            95
                        
                        m²",KSh 100 000
Karen, Nairobi,3,2,1,KSh 90 000
 Kiambu Road, Nairobi,3,3,,KSh 106 000
Muthaiga, Nairobi,3,2,2,KSh 320 000
 Kilimani, Nairobi,3,3,2,KSh 110 000
 Kileleshwa, Nairobi,1,2,,KSh 65 000
 Lavington, Nairobi,3,3,2,KSh 70 000
 Kitisuru, Nairobi,5,6,3,KSh 380 000
Kilimani, Nairobi,2,2,1,KSh 75 000
 Karen, Nairobi,4,4,2,KSh 170 000
Spring Valley, Nairobi,4,4,2,KSh 300 000
,,2,2,1,KSh 55 000
Kahawa sukari, Nairobi,3,2,,KSh 65 000
 Loresho, Nairobi,5,5,2,KSh 700 000
 Runda, Nairobi,2,2,2,KSh 150 000
 Loresho, Nairobi,5,5,2,KSh 700 000
 Runda, Nairobi,5,6,4,KSh 300 000
 Spring Valley, Nairobi,3,3,2,KSh 150 000
 Kilimani, Nairobi,2,2,2,KSh 65 000
 Kilimani, Nairobi,5,5,2,KSh 200 000
,,4,3,2,KSh 120 000
 Runda, Nairobi,5,4,2,KSh 250 000
Ngong Rd, Nairobi,1,1,,KSh 25 000
Ngong Rd, Nairobi,1,1,,KSh 38 000
 Redhill, Nairobi,3,2,1,KSh 160 000
Kilimani, Nairobi,2,3,,KSh 200 000
 Lavington, Nairobi,4,3,2,KSh 250 000
 Runda, Nairobi,6,6,2,KSh 400 000
 Runda, Nairobi,5,5,2,KSh 320 000
 Westlands, Nairobi,3,3,1,KSh 150 000
 Kilimani, Nairobi,4,4,2,KSh 110 000
Westlands, Nairobi,3,3,3,KSh 135 000
 Westlands, Nairobi,3,3,"Floor Size:

                            400
                        
                        m²",KSh 135 000
 Westlands, Nairobi,15,,,KSh 3 500 000
,,2,2,"Floor Size:

                            100
                        
                        m²",KSh 70 000
 Riverside, Nairobi,3,2,2,KSh 100 000
 Karen, Nairobi,4,5,"Erf Size:

                            0.5
                        
                        m²",KSh 250 000
 Kilimani, Nairobi,2,2,2,KSh 90 000
 Kileleshwa, Nairobi,3,3,,KSh 10 000
 Kilimani, Nairobi,3,3,2,KSh 100 000
 Parklands, Nairobi,4,4,2,KSh 90 000
Karen, Nairobi,,,,KSh 280 000
