Location,City,Bedrooms,Bathrooms,Parking,Price
Riverside, Nairobi,4,3,,KSh 450 000
Karen, Nairobi,4,4,,KSh 300 000
 Lavington, Nairobi,4,3,2,KSh 78 000
Kileleshwa, Nairobi,2,2,,KSh 75 000
 Gigiri, Nairobi,5,5,5,KSh 400 000
 Runda, Nairobi,5,5,2,KSh 400 000
Kileleshwa, Nairobi,2,2,2,KSh 75 000
 Lavington, Nairobi,5,6,2,KSh 230 000
Kilimani, Nairobi,2,2,,KSh 70 000
,,1,1,"Floor Size:

                            190
                        
                        m²",KSh 25 000
Gigiri, Nairobi,6,6,,KSh 850 000
 Kitisuru, Nairobi,3,3,2,KSh 300 000
,,1,1,"Floor Size:

                            190
                        
                        m²",KSh 25 000
Lavington, Nairobi,5,5,,KSh 350 000
Lavington, Nairobi,3,3,,KSh 200 000
,,3,3,,KSh 90 000
 Thigiri, Nairobi,5,5,2,KSh 350 000
Langata, Nairobi,2,2,,KSh 45 000
 Riverside, Nairobi,4,4,3,KSh 235 000
Kileleshwa, Nairobi,3,3,2,KSh 85 000
Lavington, Nairobi,3,3,,KSh 170 000
Kileleshwa, Nairobi,2,2,2,KSh 70 000
Riverside, Nairobi,5,4,,KSh 450 000
,,3,3,,KSh 100 000
 Lavington, Nairobi,3,1,,KSh 190 000
Runda, Nairobi,5,5,2,KSh 300 000
 Karen, Nairobi,2,2,"Erf Size:

                            0.5
                        
                        acres",KSh 50 000
Runda, Nairobi,4,4,2,KSh 350 000
 Kileleshwa, Nairobi,3,2,2,KSh 65 000
 Kitisuru, Nairobi,5,6,2,KSh 500 000
 Lavington, Nairobi,2,2,,KSh 100 000
 Kilimani, Nairobi,2,2,2,KSh 70 000
 Spring Valley, Nairobi,5,5,2,KSh 250 000
Westlands, Nairobi,2,2,2,KSh 200 000
 Lavington, Nairobi,3,3,,KSh 100 000
 Mountain View, Nairobi,5,5,5,KSh 250 000
 Mountain View, Nairobi,5,5,5,KSh 250 000
 Lakeview, Nairobi,5,5,5,KSh 350 000
,,3,4,"Floor Size:

                            250
                        
                        m²",KSh 350 000
,,5,5,3,KSh 350 000
 Westlands, Nairobi,,,,KSh 25 000
 Lavington, Nairobi,5,5,,KSh 300 000
 Kileleshwa, Nairobi,3,2,2,KSh 65 000
 Lavington, Nairobi,5,5,,KSh 300 000
 Dagoretti, Nairobi,2,1,,KSh 30 000
Lavington, Nairobi,4,4,,KSh 230 000
Lavington, Nairobi,3,3,,KSh 85 000
 Lavington, Nairobi,5,5,3,KSh 250 000
,,3,2,2,KSh 75 000
,,4,5,"Floor Size:

                            550
                        
                        m²",KSh 350 000
,,3,,,KSh 250 000
Spring Valley, Nairobi,2,2,2,KSh 120 000
Kilimani, Nairobi,3,3,,KSh 100 000
Westlands, Nairobi,3,3,,KSh 140 000
Langata, Nairobi,4,3,,KSh 70 000
Westlands, Nairobi,3,3,,KSh 140 000
Westlands, Nairobi,3,2,,KSh 100 000
 Kilimani, Nairobi,4,3,1,KSh 140 000
Kilimani, Nairobi,4,4,,KSh 420 000
 Kileleshwa, Nairobi,2,2,"Floor Size:

                            250
                        
                        m²",KSh 80 000
 Lavington, Nairobi,5,5,,KSh 450 000
 Lavington, Nairobi,5,5,2,KSh 430 000
Rosslyn, Nairobi,4,5,5,KSh 1 200 000
Kileleshwa, Nairobi,3,4,2,KSh 110 000
Westlands, Nairobi,4,4,,KSh 190 000
,,2,3,,KSh 140 000
 Lavington, Nairobi,5,5,,KSh 195 000
,,3,3,,KSh 150 000
 Lavington, Nairobi,5,5,,KSh 320 000
Kilimani, Nairobi,3,3,2,KSh 180 000
Kilimani, Nairobi,3,3,,KSh 95 000
