Location,City,Bedrooms,Bathrooms,Parking,Price
 Westlands, Nairobi,3,3,,KSh 200 000
 Kilimani, Nairobi,2,2,2,KSh 200 000
Kileleshwa, Nairobi,3,3,,KSh 160 000
 Langata, Nairobi,4,4.5,2,KSh 150 000
Kileleshwa, Nairobi,2,3,2,KSh 70 000
Kileleshwa, Nairobi,3,4,2,KSh 80 000
Kilimani, Nairobi,1,1,,KSh 65 000
 Kilimani, Nairobi,3,3,2,KSh 110 000
Ngong Rd, Nairobi,3,2,,KSh 55 000
 Spring Valley, Nairobi,4,4,"Erf Size:

                            1
                        
                        acres",KSh 350 000
 Lavington, Nairobi,4,4,2,KSh 300 000
,,4,4,3,KSh 600 000
Lakeview, Nairobi,4,3,,KSh 300 000
 Westlands, Nairobi,3,4,2,KSh 140 000
 Kyuna, Nairobi,4,4,3,KSh 325 000
 Westlands, Nairobi,3,3,,KSh 200 000
 Lavington, Nairobi,5,5,,KSh 185 000
Lavington, Nairobi,3,4,2,KSh 120 000
 Kilimani, Nairobi,5,,,KSh 200 000
 Nyari, Nairobi,5,5,"Erf Size:

                            540
                        
                        m²",KSh 550 000
 Nyari, Nairobi,5,5,"Erf Size:

                            540
                        
                        m²",KSh 300 000
 Westlands, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 130 000
 Westlands, Nairobi,3,3,"Floor Size:

                            175
                        
                        m²",KSh 95 000
 Runda, Nairobi,4,4,3,KSh 450 000
Kilimani, Nairobi,2,2,2,KSh 120 000
Lavington, Nairobi,4,4,,KSh 85 000
Kileleshwa, Nairobi,2,2,,KSh 90 000
 Loresho, Nairobi,1,1,2,KSh 90 000
Kiambu Road, Nairobi,4,4,2,KSh 250 000
Kilimani, Nairobi,4,3,,KSh 120 000
 Westlands, Nairobi,5,6,,KSh 400 000
Lavington, Nairobi,3,2,,KSh 110 000
 Riverside, Nairobi,2,2,,KSh 125 000
 Westlands, Nairobi,2,2,1,KSh 80 000
Lavington, Nairobi,3,3,2,KSh 100 000
 Loresho, Nairobi,3,3,"Floor Size:

                            176
                        
                        m²",KSh 75 000
Westlands, Nairobi,3,3,,KSh 180 000
 Loresho, Nairobi,4,3,2,KSh 250 000
 Spring Valley, Nairobi,4,4,2,KSh 280 000
 Westlands, Nairobi,5,6,,KSh 400 000
,,3,2,2,KSh 80 000
Westlands, Nairobi,3,4,"Floor Size:

                            200
                        
                        m²",KSh 220 000
 Kilimani, Nairobi,4,4,,KSh 150 000
,,2,2,,KSh 75 000
 Hurlingham, Nairobi,3,2,,KSh 90 000
 Lavington, Nairobi,4,4,2,KSh 150 000
Ngong Rd, Nairobi,1,1,,KSh 27 000
,,2,2,1,KSh 55 000
Kilimani, Nairobi,3,4,2,KSh 85 000
 Karen, Nairobi,4,4,"Floor Size:

                            2,000
                        
                        m²",KSh 310 000
 Karen, Nairobi,5,5,"Floor Size:

                            2,000
                        
                        m²",KSh 250 000
 Karen, Nairobi,4,4,"Erf Size:

                            200
                        
                        m²",KSh 130 000
 Runda, Nairobi,4,4,"Erf Size:

                            894
                        
                        m²",KSh 300 000
 Karen, Nairobi,6,4,"Erf Size:

                            894
                        
                        m²",KSh 250 000
Lavington, Nairobi,4,4,4,KSh 150 000
Ruaka, Nairobi,4,3,,KSh 70 000
 Westlands, Nairobi,2,2,2,KSh 170 000
Kilimani, Nairobi,2,2,1,KSh 65 000
 Westlands, Nairobi,3,2,2,KSh 25 000 000
Karen, Nairobi,5,6,"Floor Size:

                            495
                        
                        m²",KSh 450 000
,,2,2,1,KSh 55 000
 Spring Valley, Nairobi,5,5,,KSh 350 000
 Westlands, Nairobi,3,3,,KSh 100 000
 Syokimau, Nairobi,2,2,1,KSh 45 000
Lavington, Nairobi,2,2,1,KSh 75 000
 Karen, Nairobi,5,5,"Erf Size:

                            0.5
                        
                        acres",KSh 405 000
 Kilimani, Nairobi,4,5,2,KSh 170 000
 Rosslyn, Nairobi,5,5,,KSh 330 000
Gigiri, Nairobi,5,4,2,KSh 350 000
 Westlands, Nairobi,3,3,,KSh 100 000
 Lavington, Nairobi,3,3,,KSh 150 000
 Runda, Nairobi,5,5,"Erf Size:

                            0.55
                        
                        acres",KSh 330 000
 Runda, Nairobi,4,5,"Floor Size:

                            564
                        
                        m²",KSh 330 000
 Lower Kabete, Nairobi,5,5,2,KSh 330 000
 Lavington, Nairobi,3,3,,KSh 70 000
 Nyari, Nairobi,5,5,"Erf Size:

                            894
                        
                        m²",KSh 650 000
 Kileleshwa, Nairobi,4,4,"Erf Size:

                            894
                        
                        m²",KSh 170 000
 Kitisuru, Nairobi,5,5,"Erf Size:

                            894
                        
                        m²",KSh 380 000
