,Bedrooms,Bathrooms,Price,City,Location
158,3,3,55000, Kikuyu, Kikuyu
159,1,1,55000, Mombasa,Shanzu
160,2,2,75000, Nairobi, Westlands
161,2,2,75000,,
162,2,2,55000, Nairobi, Kileleshwa
163,3,3,55000, Kikuyu, Kikuyu
164,3,3,75000, Nairobi,Kilimani
165,3,2,45000,,
166,2,3,65000, Nairobi, Spring Valley
167,2,2,100000, Nairobi,Westlands
168,3,3,200000, Nairobi, Riverside
169,3,4,70000, Nairobi,Kileleshwa
170,3,2,38000, Mombasa, Nyali
171,3,3,80000, Nairobi, Lavington
172,1,1,110000, Nairobi,Kileleshwa
173,4,2,57750, Nairobi, Kahawa Wendani
174,2,3,65000, Nairobi,Kilimani
175,3,3,78000,,
176,4,5,300000, Nairobi,Muthaiga
177,1,1,150000, Mombasa,Nyali
178,4,2,165000, Nairobi,Westlands
179,3,3,55000, Kikuyu, Kikuyu
180,1,1,55000, Mombasa,Shanzu
181,2,2,75000, Nairobi, Westlands
182,2,2,75000,,
183,2,2,75000,,
184,2,2,55000, Nairobi, Kileleshwa
185,3,3,75000, Nairobi,Kilimani
186,3,2,45000,,
187,2,3,65000, Nairobi, Spring Valley
188,2,2,100000, Nairobi,Westlands
189,3,3,200000, Nairobi, Riverside
190,3,4,70000, Nairobi,Kileleshwa
191,3,2,38000, Mombasa, Nyali
192,3,3,80000, Nairobi, Lavington
193,1,1,110000, Nairobi,Kileleshwa
194,4,2,57750, Nairobi, Kahawa Wendani
195,2,3,65000, Nairobi,Kilimani
196,3,3,78000,,
197,4,5,300000, Nairobi,Muthaiga
198,2,3,65000, Nairobi,Kilimani
199,1,1,150000, Mombasa,Nyali
200,4,2,165000, Nairobi,Westlands
201,3,3,55000, Kikuyu, Kikuyu
202,1,1,55000, Mombasa,Shanzu
203,2,2,75000, Nairobi, Westlands
204,2,2,75000,,
205,2,2,55000, Nairobi, Kileleshwa
206,3,3,75000, Nairobi,Kilimani
207,3,2,45000,,
208,2,3,65000, Nairobi, Spring Valley
209,2,2,100000, Nairobi,Westlands
210,3,3,200000, Nairobi, Riverside
211,3,4,70000, Nairobi,Kileleshwa
212,3,2,38000, Mombasa, Nyali
213,3,3,80000, Nairobi, Lavington
214,1,1,110000, Nairobi,Kileleshwa
215,4,2,57750, Nairobi, Kahawa Wendani
216,2,3,65000, Nairobi,Kilimani
217,3,3,78000,,
218,4,5,300000, Nairobi,Muthaiga
219,1,1,150000, Mombasa,Nyali
220,1,1,55000, Mombasa,Shanzu
221,4,2,165000, Nairobi,Westlands
222,3,3,55000, Kikuyu, Kikuyu
223,1,1,55000, Mombasa,Shanzu
224,2,2,75000, Nairobi, Westlands
225,2,2,75000,,
226,2,2,55000, Nairobi, Kileleshwa
227,3,3,75000, Nairobi,Kilimani
228,3,2,45000,,
229,2,3,65000, Nairobi, Spring Valley
230,2,2,100000, Nairobi,Westlands
231,3,3,200000, Nairobi, Riverside
232,3,4,70000, Nairobi,Kileleshwa
233,3,2,38000, Mombasa, Nyali
234,3,3,80000, Nairobi, Lavington
235,1,1,110000, Nairobi,Kileleshwa
236,4,2,57750, Nairobi, Kahawa Wendani
237,2,3,65000, Nairobi,Kilimani
238,3,3,78000,,
239,4,5,300000, Nairobi,Muthaiga
240,1,1,150000, Mombasa,Nyali
241,4,2,165000, Nairobi,Westlands
242,3,3,55000, Kikuyu, Kikuyu
243,1,1,55000, Mombasa,Shanzu
244,2,2,75000, Nairobi, Westlands
245,2,2,75000,,
246,1,1,110000, Nairobi,Kileleshwa
247,2,2,55000, Nairobi, Kileleshwa
248,3,3,75000, Nairobi,Kilimani
249,3,2,45000,,
250,2,3,65000, Nairobi, Spring Valley
251,2,2,100000, Nairobi,Westlands
252,3,3,200000, Nairobi, Riverside
253,3,4,70000, Nairobi,Kileleshwa
254,3,2,38000, Mombasa, Nyali
255,3,3,80000, Nairobi, Lavington
256,1,1,110000, Nairobi,Kileleshwa
257,4,2,57750, Nairobi, Kahawa Wendani
258,2,3,65000, Nairobi,Kilimani
259,3,3,78000,,
260,4,5,300000, Nairobi,Muthaiga
261,1,1,150000, Mombasa,Nyali
262,4,2,165000, Nairobi,Westlands
263,3,3,55000, Kikuyu, Kikuyu
264,1,1,55000, Mombasa,Shanzu
265,2,2,75000, Nairobi, Westlands
266,2,2,75000, Nairobi, Westlands
267,2,2,75000,,
268,2,2,55000, Nairobi, Kileleshwa
269,3,3,75000, Nairobi,Kilimani
270,3,2,45000,,
271,2,3,65000, Nairobi, Spring Valley
272,2,2,100000, Nairobi,Westlands
273,3,3,200000, Nairobi, Riverside
274,3,4,70000, Nairobi,Kileleshwa
275,3,2,38000, Mombasa, Nyali
276,3,3,80000, Nairobi, Lavington
277,2,3,65000, Nairobi, Spring Valley
278,1,1,110000, Nairobi,Kileleshwa
279,4,2,57750, Nairobi, Kahawa Wendani
280,2,3,65000, Nairobi,Kilimani
281,3,3,78000,,
282,4,5,300000, Nairobi,Muthaiga
283,1,1,150000, Mombasa,Nyali
284,4,2,165000, Nairobi,Westlands
285,3,3,55000, Kikuyu, Kikuyu
286,1,1,55000, Mombasa,Shanzu
287,2,2,75000, Nairobi, Westlands
288,2,2,75000,,
289,2,2,55000, Nairobi, Kileleshwa
290,3,3,75000, Nairobi,Kilimani
291,3,2,45000,,
292,2,3,65000, Nairobi, Spring Valley
293,2,2,100000, Nairobi,Westlands
294,3,3,200000, Nairobi, Riverside
295,3,4,70000, Nairobi,Kileleshwa
296,3,2,38000, Mombasa, Nyali
297,3,3,80000, Nairobi, Lavington
