,title,location,bedrooms,bathrooms,price,rate
491,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
492,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
493,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
494,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
495,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
496,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
497,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
498,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
499,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
500,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
501,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
502,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
503,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
504,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
505,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
506,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
507,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
508,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
509,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
510,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
511,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
512,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
513,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
514,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
515,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
516,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
517,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
518,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
519,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
520,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
521,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
522,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
523,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
524,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
525,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
526,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
527,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
528,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
529,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
530,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
531,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
532,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
533,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
534,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
535,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
536,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
537,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
538,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
539,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
540,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
541,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
542,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
543,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
544,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
545,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
546,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Vihiga road, Kileleshwa, Nairobi",3,3, 100 000,Per Month
547,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
548,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
549,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
550,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
551,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
552,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
553,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
554,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
555,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
556,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
557,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
558,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
559,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
560,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
561,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
562,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
563,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
564,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
565,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
566,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
567,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
568,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
569,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
570,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
571,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
572,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
573,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
574,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
575,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
576,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
577,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
578,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
579,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
580,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
581,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
582,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
583,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
584,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
585,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
586,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
587,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
588,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
589,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
590,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
591,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
592,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
593,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
594,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
595,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
596,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
597,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
598,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
599,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
600,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
601,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
602,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
603,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
604,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
605,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
606,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
607,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
608,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
609,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
610,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
611,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
612,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
613,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
614,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
615,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
616,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
617,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
618,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
619,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
620,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
621,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
622,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
623,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
624,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
625,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
626,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
627,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
628,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
629,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
630,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Vihiga road, Kileleshwa, Nairobi",3,3, 100 000,Per Month
631,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
632,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
633,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
634,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
635,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
636,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
637,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
638,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
639,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
640,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
641,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
642,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
643,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
644,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
645,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
646,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
647,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
648,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
649,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
650,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
651,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
652,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
653,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
654,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
655,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
656,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
657,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
658,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
659,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
660,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
661,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
662,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
663,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
664,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
665,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
666,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
667,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
668,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
669,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
670,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
671,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
672,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
673,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
674,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
675,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
676,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
677,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
678,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
679,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
680,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
681,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
682,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
683,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
684,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
685,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
686,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
687,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
688,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
689,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
690,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
691,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
692,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
693,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
694,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
695,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
696,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
697,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
698,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
699,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
700,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
701,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
702,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
703,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
704,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
705,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
706,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
707,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
708,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
709,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
710,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
711,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
712,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
713,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
714,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
715,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
716,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
717,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
718,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
719,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
720,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
721,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
722,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
723,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
724,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
725,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
726,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
727,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
728,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
729,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
730,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
731,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
732,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
