City,Location,Bedrooms,Bathrooms,Parking,Price
Nairobi,Nairobi CBD,1,1,0.0,110000.0
Nairobi,Kileleshwa,1,1,1.0,55000.0
Nairobi,Kilimani,3,3,0.0,160000.0
Westlands,Westlands Area,3,3,1.0,300000.0
Westlands,Parklands,2,2,1.0,160000.0
Nairobi,Kileleshwa,3,3,1.0,250000.0
Nairobi,Kilimani,2,2,1.0,200000.0
Nairobi,Lavington,2,2,1.0,70000.0
Westlands,Riverside,3,2,1.0,135000.0
Mombasa Island,Tudor,2,3,1.0,12000.0
Nyali,Nyali Area,1,1,1.0,4500.0
Nairobi,Kilimani,2,3,1.0,80000.0
Nairobi,South C,3,3,1.0,160000.0
Westlands,General Mathenge,3,4,1.0,250000.0
Nairobi,Muthaiga,3,2,1.0,170000.0
Nairobi,Kileleshwa,3,3,1.0,320000.0
Nairobi,Kilimani,3,4,1.0,150000.0
Kilifi County,Mtwapa,2,2,1.0,28000.0
Nairobi,Kileleshwa,3,2,1.0,85000.0
Nairobi,Kileleshwa,3,3,1.0,180000.0
Westlands,Brookside,2,2,1.0,100000.0
Nairobi,Lavington,3,3,1.0,95000.0
Westlands,Westlands Area,2,2,1.0,280000.0
Westlands,Mountain View,2,2,1.0,55000.0
Westlands,General Mathenge,3,3,0.0,140000.0
Westlands,Westlands Area,3,4,1.0,650000.0
Westlands,Rhapta Road,3,3,1.0,130000.0
Nyali,Nyali Area,3,4,1.0,115000.0
Nairobi,Lavington,1,1,1.0,160000.0
Nairobi,Ngong Road,3,2,1.0,65000.0
Nairobi,Kilimani,2,0,1.0,190000.0
Nairobi,Upper Hill,1,1,1.0,150000.0
Nairobi,Kileleshwa,2,2,1.0,65000.0
Westlands,Kitisuru,2,2,1.0,230000.0
Nairobi,Lavington,5,5,1.0,130000.0
Westlands,Westlands Area,4,2,0.0,95000.0
Ruiru,Tatu City,3,3,1.0,180000.0
Westlands,Rosslyn,2,2,1.0,240000.0
Westlands,Brookside,3,3,1.0,90000.0
Westlands,Westlands Area,4,4,1.0,440000.0
Westlands,Westlands Area,2,3,1.0,110000.0
Westlands,Westlands Area,4,4,1.0,450000.0
Nairobi,Kileleshwa,2,2,1.0,78000.0
Westlands,Rhapta Road,2,2,1.0,90000.0
Nairobi,Kilimani,3,3,1.0,100000.0
Westlands,Westlands Area,3,3,1.0,300000.0
Nairobi,Kilimani,1,1,1.0,100000.0
Westlands,Westlands Area,2,2,1.0,210000.0
Westlands,Parklands,4,4,1.0,280000.0
Westlands,Westlands Area,3,3,1.0,130000.0
Westlands,Westlands Area,1,1,1.0,95000.0
Nairobi,Kilimani,2,2,1.0,150000.0
Limuru,Tigoni,2,2,1.0,35000.0
Nairobi,Upper Hill,2,2,0.0,220000.0
Westlands,Riverside,3,0,1.0,250000.0
Nairobi,Kileleshwa,2,2,1.0,165000.0
Westlands,Westlands Area,2,2,1.0,230000.0
Nairobi,Kilimani,2,2,1.0,75000.0
Nairobi,Kilimani,3,4,1.0,110000.0
Nairobi,Kilimani,4,4,1.0,90000.0
Nairobi,Kileleshwa,2,2,1.0,110000.0
Nairobi,Kileleshwa,3,3,1.0,180000.0
Nairobi,Lavington,3,3,1.0,170000.0
Westlands,Riverside,3,2,0.0,250000.0
Westlands,Spring Valley,3,3,1.0,320000.0
Westlands,Brookside,3,2,1.0,185000.0
Westlands,Rhapta Road,1,1,1.0,60000.0
Nyali,Mkomani,3,4,0.0,105000.0
Westlands,Brookside,2,2,1.0,200000.0
Roysambu,Garden Estate,2,2,1.0,130000.0
Westlands,Rhapta Road,1,1,1.0,160000.0
Nyali,Nyali Area,1,2,1.0,100000.0
Kiambu County,Ruaka,2,2,1.0,50000.0
Westlands,Parklands,2,2,1.0,200000.0
Nairobi,Kileleshwa,4,4,1.0,160000.0
Nairobi,Lavington,4,4,1.0,140000.0
Nairobi,Lavington,1,1,1.0,150000.0
Nairobi,Lavington,3,4,1.0,120000.0
Westlands,Brookside,2,3,1.0,300000.0
Westlands,General Mathenge,4,4,1.0,250000.0
Nairobi,Kileleshwa,1,1,0.0,130000.0
Westlands,Parklands,3,4,1.0,175000.0
Westlands,General Mathenge,3,3,1.0,160000.0
Nairobi,Upper Hill,2,2,1.0,200000.0
Westlands,Westlands Area,4,5,1.0,350000.0
Nairobi,Kileleshwa,1,1,1.0,120000.0
Nyali,Nyali Area,3,2,1.0,50000.0
Westlands,Waiyaki Way,1,1,0.0,23000.0
Nairobi,Lavington,3,3,1.0,160000.0
Nairobi,Lavington,2,3,1.0,220000.0
Westlands,Rhapta Road,2,2,1.0,200000.0
Westlands,Westlands Area,1,1,1.0,120000.0
Mombasa,Bamburi,3,3,1.0,15000.0
Nairobi,Kileleshwa,2,3,0.0,260000.0
Nairobi,Kileleshwa,3,3,1.0,120000.0
Nairobi,Kilimani,1,1,1.0,140000.0
Westlands,General Mathenge,3,3,1.0,180000.0
Nairobi,Kileleshwa,3,3,1.0,340000.0
Westlands,Riverside,3,4,1.0,230000.0
Nairobi,Kileleshwa,2,3,1.0,220000.0
Westlands,Waiyaki Way,3,2,0.0,60000.0
Nairobi,Kileleshwa,2,2,1.0,75000.0
Westlands,Kitisuru,2,3,1.0,230000.0
Nairobi,Kileleshwa,2,3,1.0,80000.0
Westlands,Westlands Area,4,4,1.0,180000.0
Westlands,Gigiri,3,2,1.0,375000.0
Nairobi,Kilimani,3,2,1.0,70000.0
Westlands,Rhapta Road,4,3,1.0,120000.0
Westlands,Spring Valley,2,2,1.0,230000.0
Westlands,Rhapta Road,3,2,1.0,70000.0
Nairobi,Kileleshwa,3,4,1.0,250000.0
Nairobi,Kilimani,3,3,1.0,120000.0
Westlands,Kitisuru,2,0,1.0,180000.0
Nairobi,Kilimani,2,2,1.0,180000.0
Nairobi,Kilimani,2,2,1.0,100000.0
Nairobi,Kileleshwa,3,4,1.0,130000.0
Nairobi,Lavington,2,2,1.0,75000.0
Westlands,Westlands Area,3,3,1.0,250000.0
Nairobi,Kilimani,2,2,1.0,65000.0
Westlands,Parklands,3,3,1.0,120000.0
Westlands,Gigiri,2,3,1.0,247000.0
Mombasa Island,Tudor,3,4,1.0,100000.0
Nairobi,Utawala,2,1,1.0,25000.0
Nairobi,Kileleshwa,1,2,1.0,6500.0
Westlands,General Mathenge,3,0,0.0,170000.0
Nairobi,Kileleshwa,3,0,0.0,60000.0
Nairobi,Lavington,2,3,1.0,200000.0
Westlands,Rhapta Road,2,3,1.0,145000.0
Westlands,Westlands Area,4,4,1.0,170000.0
Nairobi,Kilimani,2,0,1.0,120000.0
Westlands,Westlands Area,2,2,1.0,220000.0
Nairobi,Kilimani,2,2,1.0,100000.0
Nairobi,Ngara,2,1,0.0,38000.0
Westlands,Kitisuru,2,2,1.0,240000.0
Nairobi,Kilimani,2,2,1.0,230000.0
Westlands,Parklands,2,2,1.0,250000.0
Westlands,Riverside,2,0,1.0,140000.0
Westlands,Riverside,1,2,0.0,90000.0
Westlands,Parklands,2,2,0.0,160000.0
Westlands,Westlands Area,2,2,1.0,170000.0
