Price,Bedrooms,Bathrooms,City,Location
39000,2,1,Nairobi, Ngumo Estate
40000,2,2,Nairobi, Ruaka
40000,3,2,Nairobi, Ongata Rongai
40000,3,3,Nairobi, Nyali Area
40000,3,3,Nairobi, Nyali Area
40000,1,1,Nairobi, Naivasha Road
40000,2,2,Nairobi, Ruaka
40000,2,2,Nairobi,Ngara
40000,3,1,Nairobi, Madaraka
40000,3,2,Nairobi, Nyali Area
40000,2,2,Nairobi,Naivasha Road
40000,2,2,Nairobi, Thindigua
40000,2,2,Nairobi, Thindigua
40000,1,1,Nairobi, Kilimani
40000,3,1,Nairobi,Parklands
40000,2,,Nairobi,Naivasha Road
40000,2,2,Nairobi,Kamiti
40000,2,,Nairobi,Thika Road
40000,2,1,Nairobi,Madaraka
40000,3,,Nairobi, Riruta
40000,2,2,Nairobi,Ruaka
40000,2,2,Nairobi, Ruaka
40000,2,2,Nairobi, Ruaka
40000,3,2,Nairobi, Ruaka
40000,3,2,Nairobi, Ruaka
40000,2,1,Nairobi,Makadara
40000,2,2,Nairobi, Naivasha Road
40000,2,2,Nairobi,Ruaka
40000,1,1,Nairobi, Lavington
40000,2,2,Nairobi, Karen
40000,3,2,Nairobi,Koma Rock
40000,2,2,Nairobi,Ruaka
40000,3,2,Nairobi, Syokimau
42000,3,2,Nairobi,Ruaka
42500,2,1,Nairobi, Dagoretti Corner
43000,2,2,Nairobi, Garden Estate
43000,2,3,Nairobi, Thika Road
43000,2,2,Nairobi, Ruaka
43500,2,2,Nairobi,Naivasha Road
44000,2,1,Nairobi, Ngara
44000,2,4,Nairobi,Mombasa Road
45000,1,1,Nairobi, Ngong Road
45000,2,2,Nairobi, Ruaka
45000,3,2,Nairobi,Naivasha Road
45000,2,2,Nairobi, Kahawa West
45000,2,2,Nairobi, Karen
45000,2,2,Nairobi,Kileleshwa
45000,3,,Nairobi,Ruaka
45000,2,,Nairobi,Ruaka
45000,3,2,Nairobi, Kitisuru
45000,2,,Nairobi,Nairobi West
45000,3,,Nairobi,Kasarani Area
45000,3,,Nairobi,Syokimau
45000,3,,Nairobi,Syokimau
45000,3,,Nairobi, Ngara
45000,2,2,Nairobi,Thindigua
45000,2,2,Nairobi,Ruaka
45000,3,2,Nairobi, Ziwa La Ngombe
